fdc_id,description,data_type,publication_date,nutrient_id,nutrient_name,unit_name,amount_per_100g
173944,"Bananas, raw",sr_legacy_food,2019-04-01,1004,Total lipid (fat),G,0.33
173944,"Bananas, raw",sr_legacy_food,2019-04-01,1005,"Carbohydrate, by difference",G,22.84
173944,"Bananas, raw",sr_legacy_food,2019-04-01,1008,Energy,KCAL,89
173944,"Bananas, raw",sr_legacy_food,2019-04-01,1079,"Fiber, total dietary",G,2.6
173944,"Bananas, raw",sr_legacy_food,2019-04-01,1093,"Sodium, Na",MG,1
175168,"Fish, salmon, Atlantic, farmed, cooked, dry heat",sr_legacy_food,2019-04-01,1003,Protein,G,22.1
175168,"Fish, salmon, Atlantic, farmed, cooked, dry heat",sr_legacy_food,2019-04-01,1004,Total lipid (fat),G,12.35
175168,"Fish, salmon, Atlantic, farmed, cooked, dry heat",sr_legacy_food,2019-04-01,1005,"Carbohydrate, by difference",G,0
175168,"Fish, salmon, Atlantic, farmed, cooked, dry heat",sr_legacy_food,2019-04-01,1008,Energy,KCAL,206
175168,"Fish, salmon, Atlantic, farmed, cooked, dry heat",sr_legacy_food,2019-04-01,1079,"Fiber, total dietary",G,0
175168,"Fish, salmon, Atlantic, farmed, cooked, dry heat",sr_legacy_food,2019-04-01,1093,"Sodium, Na",MG,61
